energy_%,bpm,danceability_%,liveness_%,valence_%,speechiness_%,instrumentalness_%
0.373,92.718,0.671,0.0481,0.732,0.0323,8.01e-05
0.927,141.466,0.333,0.297,0.385,0.0733,0.000208
0.787,126.879,0.767,0.0513,0.964,0.0331,0.583
0.366,127.163,0.472,0.0837,0.171,0.0286,0.312
0.864,81.394,0.437,0.242,0.749,0.0904,0.0314
0.584,170.411,0.509,0.384,0.685,0.057,9.96e-05
0.912,117.399,0.575,0.0562,0.843,0.0393,0.00211
0.611,85.387,0.654,0.405,0.786,0.119,0.000178
0.482,138.453,0.529,0.0842,0.492,0.0599,0.0
0.748,134.114,0.618,0.0473,0.663,0.358,4.1e-06
0.7,147.245,0.586,0.0318,0.897,0.0363,0.00125
0.318,104.522,0.575,0.0934,0.385,0.109,0.000202
0.706,80.823,0.445,0.205,0.768,0.0461,0.000252
0.913,115.728,0.574,0.156,0.423,0.133,0.00158
0.495,124.936,0.532,0.0754,0.308,0.0343,0.0
0.875,75.009,0.284,0.402,0.595,0.0422,0.000461
0.737,103.867,0.662,0.119,0.744,0.0296,0.0191
0.936,91.577,0.666,0.153,0.776,0.0476,0.086
0.432,94.605,0.475,0.161,0.648,0.0302,0.0
0.549,176.941,0.516,0.184,0.907,0.0373,0.00572
0.751,89.839,0.421,0.17,0.789,0.0472,0.0
0.938,168.131,0.324,0.0961,0.543,0.102,0.0321
0.953,84.989,0.267,0.283,0.568,0.096,0.0
0.919,135.997,0.465,0.262,0.537,0.0408,2.07e-05
0.58,127.402,0.741,0.212,0.944,0.0304,3.61e-05
0.72,121.864,0.404,0.0466,0.475,0.0623,0.836
0.927,170.814,0.215,0.126,0.49,0.0452,0.00661
0.801,133.769,0.651,0.0825,0.776,0.0514,0.0
0.262,122.861,0.481,0.832,0.375,0.0414,0.0114
0.449,84.383,0.623,0.0613,0.573,0.0253,0.0
0.476,148.117,0.389,0.255,0.566,0.0316,5.09e-05
0.978,141.167,0.526,0.0744,0.451,0.108,4.75e-05
